tanggal,kurs
2024-01-01,16303
2024-01-02,16087
2024-01-03,17228
2024-01-04,16400
2024-01-05,16050
2024-01-08,17336
2024-01-09,16265
2024-01-10,15817
2024-01-11,16283
2024-01-12,15826
2024-01-15,16249
2024-01-16,16136
2024-01-17,15545
2024-01-18,16268
2024-01-19,17170
2024-01-22,16177
2024-01-23,17469
2024-01-24,16709
2024-01-25,16826
2024-01-26,17134
2024-01-29,17171
2024-01-30,17261
2024-01-31,15947
2024-02-01,15947
2024-02-02,17077
2024-02-05,17109
2024-02-06,17454
2024-02-07,16968
2024-02-08,15801
2024-02-09,15675
2024-02-12,16417
2024-02-13,16933
2024-02-14,17485
2024-02-15,17175
2024-02-16,15922
2024-02-19,16104
2024-02-20,16820
2024-02-21,16006
2024-02-22,16666
2024-02-23,16282
2024-02-26,17335
2024-02-27,17298
2024-02-28,17224
2024-02-29,16889
2024-03-01,16744
2024-03-04,16608
2024-03-05,16572
2024-03-06,16093
2024-03-07,16917
2024-03-08,15736
2024-03-11,16776
2024-03-12,17209
2024-03-13,17094
2024-03-14,16837
2024-03-15,17353
2024-03-18,16308
2024-03-19,15553
2024-03-20,15561
2024-03-21,15985
2024-03-22,16871
2024-03-25,17005
2024-03-26,17139
2024-03-27,16039
2024-03-28,15594
2024-03-29,16405
2024-04-01,15869
2024-04-02,15723
2024-04-03,16018
2024-04-04,16675
2024-04-05,16424
2024-04-08,16405
2024-04-09,16255
2024-04-10,15827
2024-04-11,15570
2024-04-12,17093
2024-04-15,17071
2024-04-16,16825
2024-04-17,16964
2024-04-18,16449
2024-04-19,17005
2024-04-22,17306
2024-04-23,15948
2024-04-24,16933
2024-04-25,15840
2024-04-26,17371
2024-04-29,15607
2024-04-30,16754
2024-05-01,16496
2024-05-02,16716
2024-05-03,15536
2024-05-06,17489
2024-05-07,15896
2024-05-08,17225
2024-05-09,16859
2024-05-10,17330
2024-05-13,16875
2024-05-14,17089
2024-05-15,17258
2024-05-16,16224
2024-05-17,16519
2024-05-20,17307
2024-05-21,16637
2024-05-22,15766
2024-05-23,17044
2024-05-24,15917
2024-05-27,15791
2024-05-28,17061
2024-05-29,17217
2024-05-30,16672
2024-05-31,17329
2024-06-03,17181
2024-06-04,16691
2024-06-05,16732
2024-06-06,17418
2024-06-07,16552
2024-06-10,16854
2024-06-11,16444
2024-06-12,15516
2024-06-13,16806
2024-06-14,16762
2024-06-17,15807
2024-06-18,16711
2024-06-19,17311
2024-06-20,15647
2024-06-21,15643
2024-06-24,16208
2024-06-25,16402
2024-06-26,15593
2024-06-27,15646
2024-06-28,16002
2024-07-01,16394
2024-07-02,17060
2024-07-03,16123
2024-07-04,16427
2024-07-05,16622
2024-07-08,16330
2024-07-09,16882
2024-07-10,16927
2024-07-11,16754
2024-07-12,17079
2024-07-15,17340
2024-07-16,15917
2024-07-17,15581
2024-07-18,16074
2024-07-19,16571
2024-07-22,17245
2024-07-23,16880
2024-07-24,17076
2024-07-25,16805
2024-07-26,16166
2024-07-29,15905
2024-07-30,16370
2024-07-31,17432
2024-08-01,15530
2024-08-02,15558
2024-08-05,16343
2024-08-06,17025
2024-08-07,16858
2024-08-08,17168
2024-08-09,17332
2024-08-12,16182
2024-08-13,16302
2024-08-14,16288
2024-08-15,15767
2024-08-16,16799
2024-08-19,17240
2024-08-20,15641
2024-08-21,16385
2024-08-22,17495
2024-08-23,16378
2024-08-26,17055
2024-08-27,15635
2024-08-28,15559
2024-08-29,17005
2024-08-30,16259
2024-09-02,17126
2024-09-03,16600
2024-09-04,17355
2024-09-05,17380
2024-09-06,16218
2024-09-09,15686
2024-09-10,16778
