tanggal,bi_7day_rr
2024-01-01,5.28
2024-01-02,6.12
2024-01-03,5.53
2024-01-04,5.25
2024-01-05,5.75
2024-01-06,5.62
2024-01-07,5.86
2024-01-08,5.61
2024-01-09,5.90
2024-01-10,5.47
2024-01-11,5.73
2024-01-12,5.38
2024-01-13,5.65
2024-01-14,5.42
2024-01-15,5.78
2024-01-16,5.55
2024-01-17,5.81
2024-01-18,5.58
2024-01-19,5.84
2024-01-20,5.51
2024-01-21,5.77
2024-01-22,5.54
2024-01-23,5.80
2024-01-24,5.57
2024-01-25,5.83
2024-01-26,5.60
2024-01-27,5.86
2024-01-28,5.63
2024-01-29,5.89
2024-01-30,5.56
2024-01-31,5.82
2024-02-01,5.59
2024-02-02,5.85
2024-02-03,5.62
2024-02-04,5.88
2024-02-05,5.65
2024-02-06,5.91
2024-02-07,5.68
2024-02-08,5.94
2024-02-09,5.61
2024-02-10,5.87
2024-02-11,5.64
2024-02-12,5.90
2024-02-13,5.67
2024-02-14,5.93
2024-02-15,5.70
2024-02-16,5.96
2024-02-17,5.63
2024-02-18,5.89
2024-02-19,5.66
2024-02-20,5.92
2024-02-21,5.69
2024-02-22,5.95
2024-02-23,5.72
2024-02-24,5.98
2024-02-25,5.75
2024-02-26,6.01
2024-02-27,5.78
2024-02-28,6.04
2024-02-29,5.81
2024-03-01,6.07
2024-03-02,5.84
2024-03-03,6.10
2024-03-04,5.87
2024-03-05,6.13
2024-03-06,5.90
2024-03-07,6.16
2024-03-08,5.93
2024-03-09,6.19
2024-03-10,5.96
2024-03-11,6.22
2024-03-12,5.99
2024-03-13,6.25
2024-03-14,6.02
2024-03-15,6.28
2024-03-16,6.05
2024-03-17,6.31
2024-03-18,6.08
2024-03-19,6.34
2024-03-20,6.11
2024-03-21,6.37
2024-03-22,6.14
2024-03-23,6.40
2024-03-24,6.17
2024-03-25,6.43
2024-03-26,6.20
2024-03-27,6.46
2024-03-28,6.23
2024-03-29,6.49
2024-03-30,6.26
2024-03-31,6.52
2024-04-01,6.29
2024-04-02,6.55
2024-04-03,6.32
2024-04-04,6.58
2024-04-05,6.35
2024-04-06,6.61
2024-04-07,6.38
2024-04-08,6.64
2024-04-09,6.41
2024-04-10,6.67
2024-04-11,6.44
2024-04-12,6.70
2024-04-13,6.47
2024-04-14,6.73
2024-04-15,6.50
2024-04-16,6.76
2024-04-17,6.53
2024-04-18,6.79
2024-04-19,6.56
2024-04-20,6.82
2024-04-21,6.59
2024-04-22,6.85
2024-04-23,6.62
2024-04-24,6.88
2024-04-25,6.65
2024-04-26,6.91
2024-04-27,6.68
2024-04-28,6.94
2024-04-29,6.71
2024-04-30,6.97
2024-05-01,6.74
2024-05-02,7.00
2024-05-03,6.77
2024-05-04,7.03
2024-05-05,6.80
2024-05-06,7.06
2024-05-07,6.83
2024-05-08,7.09
2024-05-09,6.86
2024-05-10,7.12
2024-05-11,6.89
2024-05-12,7.15
2024-05-13,6.92
2024-05-14,7.18
2024-05-15,6.95
2024-05-16,7.21
2024-05-17,6.98
2024-05-18,7.24
2024-05-19,7.01
2024-05-20,7.27
2024-05-21,7.04
2024-05-22,7.30
2024-05-23,7.07
2024-05-24,7.33
2024-05-25,7.10
2024-05-26,7.36
2024-05-27,7.13
2024-05-28,7.39
2024-05-29,7.16
2024-05-30,7.42
2024-05-31,7.19
2024-06-01,7.45
2024-06-02,7.22
2024-06-03,7.48
2024-06-04,7.25
2024-06-05,7.51
2024-06-06,7.28
2024-06-07,7.54
2024-06-08,7.31
2024-06-09,7.57
2024-06-10,7.34
2024-06-11,7.60
2024-06-12,7.37
2024-06-13,7.63
2024-06-14,7.40
2024-06-15,7.66
2024-06-16,7.43
2024-06-17,7.69
2024-06-18,7.46
2024-06-19,7.72
2024-06-20,7.49
2024-06-21,7.75
2024-06-22,7.52
2024-06-23,7.78
2024-06-24,7.55
2024-06-25,7.81
2024-06-26,7.58
2024-06-27,7.84
2024-06-28,7.61
2024-06-29,7.87
2024-06-30,7.64
2024-07-01,7.90
2024-07-02,7.67
2024-07-03,7.93
2024-07-04,7.70
2024-07-05,7.96
2024-07-06,7.73
2024-07-07,7.99
2024-07-08,7.76
2024-07-09,8.02
2024-07-10,7.79
2024-07-11,8.05
2024-07-12,7.82
2024-07-13,8.08
2024-07-14,7.85
2024-07-15,8.11
2024-07-16,7.88
2024-07-17,8.14
2024-07-18,7.91
2024-07-19,8.17
2024-07-20,7.94
2024-07-21,8.20
2024-07-22,7.97
2024-07-23,8.23
2024-07-24,8.00
2024-07-25,8.26
2024-07-26,8.03
2024-07-27,8.29
2024-07-28,8.06
2024-07-29,8.32
2024-07-30,8.09
2024-07-31,8.35
2024-08-01,8.12
2024-08-02,8.38
