provinsi,tahun,bulan,inflasi
Aceh,2025,1,2.95
Aceh,2025,2,3.18
Aceh,2025,3,2.82
Aceh,2025,4,3.01
Aceh,2025,5,2.89
Aceh,2025,6,2.45
Aceh,2025,7,2.57
Aceh,2025,8,2.63
Aceh,2025,9,2.90
Aceh,2025,10,2.97
Aceh,2025,11,3.04
Aceh,2025,12,3.00
Sumatera Utara,2025,1,2.61
Sumatera Utara,2025,2,2.84
Sumatera Utara,2025,3,2.48
Sumatera Utara,2025,4,2.67
Sumatera Utara,2025,5,2.55
Sumatera Utara,2025,6,2.11
Sumatera Utara,2025,7,2.23
Sumatera Utara,2025,8,2.29
Sumatera Utara,2025,9,2.56
Sumatera Utara,2025,10,2.63
Sumatera Utara,2025,11,2.70
Sumatera Utara,2025,12,2.66
Sumatera Barat,2025,1,2.39
Sumatera Barat,2025,2,2.62
Sumatera Barat,2025,3,2.26
Sumatera Barat,2025,4,2.45
Sumatera Barat,2025,5,2.33
Sumatera Barat,2025,6,1.89
Sumatera Barat,2025,7,2.01
Sumatera Barat,2025,8,2.07
Sumatera Barat,2025,9,2.34
Sumatera Barat,2025,10,2.41
Sumatera Barat,2025,11,2.48
Sumatera Barat,2025,12,2.44
Riau,2025,1,2.17
Riau,2025,2,2.40
Riau,2025,3,2.04
Riau,2025,4,2.23
Riau,2025,5,2.11
Riau,2025,6,1.67
Riau,2025,7,1.79
Riau,2025,8,1.85
Riau,2025,9,2.12
Riau,2025,10,2.19
Riau,2025,11,2.26
Riau,2025,12,2.22
Jambi,2025,1,2.50
Jambi,2025,2,2.73
Jambi,2025,3,2.37
Jambi,2025,4,2.56
Jambi,2025,5,2.44
Jambi,2025,6,2.00
Jambi,2025,7,2.12
Jambi,2025,8,2.18
Jambi,2025,9,2.45
Jambi,2025,10,2.52
Jambi,2025,11,2.59
Jambi,2025,12,2.55
Bengkulu,2025,1,2.28
Bengkulu,2025,2,2.51
Bengkulu,2025,3,2.15
Bengkulu,2025,4,2.34
Bengkulu,2025,5,2.22
Bengkulu,2025,6,1.78
Bengkulu,2025,7,1.90
Bengkulu,2025,8,1.96
Bengkulu,2025,9,2.23
Bengkulu,2025,10,2.30
Bengkulu,2025,11,2.37
Bengkulu,2025,12,2.33
Lampung,2025,1,2.06
Lampung,2025,2,2.29
Lampung,2025,3,1.93
Lampung,2025,4,2.12
Lampung,2025,5,2.00
Lampung,2025,6,1.56
Lampung,2025,7,1.68
Lampung,2025,8,1.74
Lampung,2025,9,2.01
Lampung,2025,10,2.08
Lampung,2025,11,2.15
Lampung,2025,12,2.11
DKI Jakarta,2025,1,2.63
DKI Jakarta,2025,2,2.86
DKI Jakarta,2025,3,2.50
DKI Jakarta,2025,4,2.69
DKI Jakarta,2025,5,2.57
DKI Jakarta,2025,6,2.13
DKI Jakarta,2025,7,2.25
DKI Jakarta,2025,8,2.31
DKI Jakarta,2025,9,2.58
DKI Jakarta,2025,10,2.65
DKI Jakarta,2025,11,2.72
DKI Jakarta,2025,12,2.68
Jawa Barat,2025,1,2.39
Jawa Barat,2025,2,2.62
Jawa Barat,2025,3,2.26
Jawa Barat,2025,4,2.45
Jawa Barat,2025,5,2.33
Jawa Barat,2025,6,1.89
Jawa Barat,2025,7,2.01
Jawa Barat,2025,8,2.07
Jawa Barat,2025,9,2.34
Jawa Barat,2025,10,2.41
Jawa Barat,2025,11,2.48
Jawa Barat,2025,12,2.44
Jawa Tengah,2025,1,2.17
Jawa Tengah,2025,2,2.40
Jawa Tengah,2025,3,2.04
Jawa Tengah,2025,4,2.23
Jawa Tengah,2025,5,2.11
Jawa Tengah,2025,6,1.67
Jawa Tengah,2025,7,1.79
Jawa Tengah,2025,8,1.85
Jawa Tengah,2025,9,2.12
Jawa Tengah,2025,10,2.19
Jawa Tengah,2025,11,2.26
Jawa Tengah,2025,12,2.22
DI Yogyakarta,2025,1,2.61
DI Yogyakarta,2025,2,2.84
DI Yogyakarta,2025,3,2.48
DI Yogyakarta,2025,4,2.67
DI Yogyakarta,2025,5,2.55
DI Yogyakarta,2025,6,2.11
DI Yogyakarta,2025,7,2.23
DI Yogyakarta,2025,8,2.29
DI Yogyakarta,2025,9,2.56
DI Yogyakarta,2025,10,2.63
DI Yogyakarta,2025,11,2.70
DI Yogyakarta,2025,12,2.66
Jawa Timur,2025,1,2.28
Jawa Timur,2025,2,2.51
